VentaID,Fecha,ProductoID,Producto,Categoria,ClienteID,Cliente,Region,Cantidad,PrecioUnitario,TotalVenta
57,2023-02-26,7,Producto G,Categoria 3,17,Cliente 17,Sur,2,15,30
58,2023-02-27,8,Producto H,Categoria 2,18,Cliente 18,Este,3,20,60
59,2023-02-28,9,Producto I,Categoria 1,19,Cliente 19,Oeste,4,25,100
60,2023-03-01,10,Producto J,Categoria 3,20,Cliente 20,Centro,5,30,150
61,2023-03-02,1,Producto A,Categoria 1,1,Cliente 1,Norte,1,10,10
62,2023-03-03,2,Producto B,Categoria 2,2,Cliente 2,Sur,2,15,30
63,2023-03-04,3,Producto C,Categoria 1,3,Cliente 3,Este,3,20,60
64,2023-03-05,4,Producto D,Categoria 2,4,Cliente 4,Oeste,4,25,100
65,2023-03-06,5,Producto E,Categoria 3,5,Cliente 5,Centro,5,30,150
66,2023-03-07,6,Producto F,Categoria 1,6,Cliente 6,Norte,1,10,10
67,2023-03-08,7,Producto G,Categoria 3,7,Cliente 7,Sur,2,15,30
68,2023-03-09,8,Producto H,Categoria 2,8,Cliente 8,Este,3,20,60
69,2023-03-10,9,Producto I,Categoria 1,9,Cliente 9,Oeste,4,25,100
70,2023-03-11,10,Producto J,Categoria 3,10,Cliente 10,Centro,5,30,150
71,2023-03-12,1,Producto A,Categoria 1,11,Cliente 11,Norte,1,10,10
72,2023-03-13,2,Producto B,Categoria 2,12,Cliente 12,Sur,2,15,30
73,2023-03-14,3,Producto C,Categoria 1,13,Cliente 13,Este,3,20,60
74,2023-03-15,4,Producto D,Categoria 2,14,Cliente 14,Oeste,4,25,100
75,2023-03-16,5,Producto E,Categoria 3,15,Cliente 15,Centro,5,30,150
76,2023-03-17,6,Producto F,Categoria 1,16,Cliente 16,Norte,1,10,10
77,2023-03-18,7,Producto G,Categoria 3,17,Cliente 17,Sur,2,15,30
78,2023-03-19,8,Producto H,Categoria 2,18,Cliente 18,Este,3,20,60
79,2023-03-20,9,Producto I,Categoria 1,19,Cliente 19,Oeste,4,25,100
80,2023-03-21,10,Producto J,Categoria 3,20,Cliente 20,Centro,5,30,150
81,2023-03-22,1,Producto A,Categoria 1,1,Cliente 1,Norte,1,10,10
82,2023-03-23,2,Producto B,Categoria 2,2,Cliente 2,Sur,2,15,30
83,2023-03-24,3,Producto C,Categoria 1,3,Cliente 3,Este,3,20,60
84,2023-03-25,4,Producto D,Categoria 2,4,Cliente 4,Oeste,4,25,100
85,2023-03-26,5,Producto E,Categoria 3,5,Cliente 5,Centro,5,30,150
86,2023-03-27,6,Producto F,Categoria 1,6,Cliente 6,Norte,1,10,10
87,2023-03-28,7,Producto G,Categoria 3,7,Cliente 7,Sur,2,15,30
88,2023-03-29,8,Producto H,Categoria 2,8,Cliente 8,Este,3,20,60
89,2023-03-30,9,Producto I,Categoria 1,9,Cliente 9,Oeste,4,25,100
90,2023-03-31,10,Producto J,Categoria 3,10,Cliente 10,Centro,5,30,150
91,2023-04-01,1,Producto A,Categoria 1,11,Cliente 11,Norte,1,10,10
92,2023-04-02,2,Producto B,Categoria 2,12,Cliente 12,Sur,2,15,30
93,2023-04-03,3,Producto C,Categoria 1,13,Cliente 13,Este,3,20,60
94,2023-04-04,4,Producto D,Categoria 2,14,Cliente 14,Oeste,4,25,100
95,2023-04-05,5,Producto E,Categoria 3,15,Cliente 15,Centro,5,30,150
96,2023-04-06,6,Producto F,Categoria 1,16,Cliente 16,Norte,1,10,10
97,2023-04-07,7,Producto G,Categoria 3,17,Cliente 17,Sur,2,15,30
98,2023-04-08,8,Producto H,Categoria 2,18,Cliente 18,Este,3,20,60
99,2023-04-09,9,Producto I,Categoria 1,19,Cliente 19,Oeste,4,25,100
100,2023-04-10,10,Producto J,Categoria 3,20,Cliente 20,Centro,5,30,150
